iter	Passed	Remaining
0	0	50
1	0	43
2	1	41
3	1	36
4	1	36
5	2	35
6	2	36
7	3	35
8	3	35
9	3	34
10	4	37
11	4	36
12	5	35
13	5	34
14	6	34
15	6	33
16	6	32
17	6	31
18	7	30
19	7	30
20	7	29
21	8	29
22	8	28
23	8	28
24	9	27
25	9	27
26	9	26
27	10	26
28	10	25
29	10	24
30	10	24
31	11	23
32	11	23
33	11	23
34	12	22
35	12	22
36	12	21
37	13	21
38	13	21
39	13	20
40	14	20
41	14	19
42	14	19
43	14	18
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	17	16
52	17	15
53	18	15
54	18	14
55	18	14
56	19	14
57	19	14
58	19	13
59	19	13
60	20	12
61	20	12
62	20	12
63	21	11
64	21	11
65	21	11
66	22	10
67	22	10
68	22	10
69	22	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	24	7
77	25	7
78	25	6
79	25	6
80	26	6
81	26	5
82	26	5
83	26	5
84	27	4
85	27	4
86	27	4
87	28	3
88	28	3
89	28	3
90	29	2
91	29	2
92	29	2
93	30	1
94	30	1
95	30	1
96	31	0
97	31	0
98	32	0
99	32	0
