iter	Passed	Remaining
0	58	58083
1	58	29183
2	58	19538
3	59	14714
4	59	11820
5	59	9895
6	60	8523
7	60	7487
8	60	6683
9	61	6043
10	61	5524
11	61	5089
12	62	4723
13	62	4404
14	62	4130
15	63	3891
16	63	3675
17	63	3487
18	64	3316
19	64	3162
20	64	3023
21	65	2897
22	65	2780
23	65	2674
24	66	2575
25	66	2484
26	66	2399
27	66	2323
28	67	2249
29	67	2181
30	67	2116
31	68	2057
32	68	2003
33	68	1949
34	68	1901
35	69	1857
36	69	1813
37	69	1770
38	70	1731
39	70	1693
40	70	1656
41	71	1621
42	71	1589
43	71	1557
44	71	1527
45	72	1499
46	72	1471
47	72	1445
48	73	1420
49	73	1398
50	73	1375
51	74	1353
52	74	1331
53	74	1312
54	75	1294
55	75	1274
56	75	1255
57	76	1236
58	76	1219
59	76	1202
60	77	1186
61	77	1170
62	77	1155
63	77	1140
64	78	1126
65	78	1113
66	78	1099
67	79	1086
68	79	1073
69	79	1061
70	80	1049
71	80	1037
72	80	1026
73	81	1015
74	81	1004
75	81	993
76	82	983
77	82	973
78	82	964
79	82	954
80	83	944
81	83	935
82	83	924
83	83	915
84	84	907
85	84	898
86	84	890
87	85	882
88	85	874
89	85	866
90	86	859
91	86	851
92	86	844
93	86	837
94	87	830
95	87	823
96	87	816
97	88	811
98	88	805
99	88	800
100	89	794
101	89	788
102	89	783
103	90	776
104	90	770
105	90	765
106	91	759
107	91	753
108	91	748
109	91	743
110	92	739
111	92	733
112	92	728
113	93	724
114	93	719
115	93	714
116	93	709
117	94	704
118	94	700
119	94	695
120	95	691
121	95	686
122	95	682
123	95	677
124	96	673
125	96	669
126	96	665
127	97	661
128	97	657
129	97	654
130	98	650
131	98	646
132	98	642
133	98	638
134	99	635
135	99	631
136	99	628
137	100	629
138	101	625
139	101	622
140	101	619
141	101	615
142	102	612
143	102	608
144	102	606
145	103	603
146	103	600
147	103	597
148	104	594
149	104	592
150	104	589
151	105	586
152	105	583
153	105	580
154	106	578
155	106	575
156	106	572
157	106	569
158	107	567
159	107	564
160	107	561
161	107	558
162	108	555
163	108	553
164	108	551
165	109	548
166	109	546
167	109	544
168	110	541
169	110	539
170	110	537
171	111	534
172	111	532
173	111	530
174	111	527
175	112	525
176	112	523
177	112	520
178	113	518
179	113	517
180	113	514
181	114	513
182	114	510
183	114	508
184	114	506
185	115	504
186	115	502
187	115	499
188	116	497
189	116	496
190	116	494
191	116	492
192	117	490
193	117	488
194	117	486
195	118	484
196	118	482
197	118	480
198	118	478
199	119	477
200	119	475
201	119	473
202	120	471
203	120	469
204	120	468
205	121	466
206	121	464
207	121	463
208	121	461
209	122	459
210	122	458
211	122	456
212	123	454
213	123	453
214	123	451
215	123	449
216	124	448
217	124	446
218	124	444
219	125	443
220	125	442
221	125	440
222	126	439
223	126	437
224	126	436
225	126	434
226	127	433
227	127	431
228	127	430
229	128	428
230	128	427
231	128	425
232	129	424
233	129	423
234	130	424
235	130	423
236	130	421
237	131	420
238	131	418
239	131	417
240	132	416
241	132	415
242	132	413
243	133	412
244	133	411
245	133	410
246	134	409
247	134	407
248	134	406
249	135	405
250	135	403
251	135	402
252	135	401
253	136	400
254	136	399
255	136	397
256	137	396
257	137	395
258	137	394
259	138	393
260	138	391
261	138	390
262	138	389
263	139	388
264	139	387
265	140	386
266	140	385
267	140	384
268	140	383
269	141	381
270	141	380
271	141	379
272	142	378
273	142	377
274	142	376
275	143	375
276	143	374
277	143	372
278	144	372
279	144	371
280	144	369
281	144	368
282	145	367
283	145	366
284	145	365
285	146	364
286	146	363
287	146	362
288	147	361
289	147	360
290	147	359
291	148	358
292	148	358
293	148	357
294	149	356
295	149	355
296	149	354
297	150	353
298	150	352
299	150	351
300	150	350
301	151	349
302	151	348
303	151	347
304	152	346
305	152	345
306	152	344
307	153	344
308	153	343
309	153	342
310	154	341
311	154	340
312	154	339
313	155	338
314	155	337
315	155	336
316	155	336
317	156	335
318	156	334
319	156	333
320	157	332
321	157	331
322	157	330
323	158	329
324	158	329
325	158	328
326	159	327
327	159	326
328	159	325
329	159	324
330	160	323
331	160	322
332	160	322
333	161	321
334	161	320
335	161	319
336	161	318
337	162	317
338	162	316
339	162	316
340	163	315
341	163	314
342	163	313
343	163	312
344	164	311
345	164	311
346	164	310
347	165	309
348	165	308
349	165	308
350	166	307
351	166	306
352	166	305
353	167	304
354	167	304
355	167	303
356	168	302
357	168	301
358	168	301
359	168	300
360	169	299
361	169	298
362	169	297
363	170	297
364	170	296
365	170	295
366	171	295
367	171	294
368	171	293
369	172	292
370	172	292
371	172	291
372	172	290
373	173	289
374	173	289
375	173	288
376	174	287
377	174	287
378	174	286
379	175	285
380	175	284
381	175	284
382	175	283
383	176	282
384	176	282
385	176	281
386	177	280
387	177	280
388	177	279
389	178	278
390	178	277
391	178	277
392	179	276
393	179	276
394	179	275
395	180	274
396	180	273
397	180	273
398	180	272
399	181	271
400	181	271
401	181	270
402	182	269
403	182	269
404	182	268
405	183	267
406	183	267
407	183	266
408	183	265
409	184	265
410	184	264
411	184	263
412	185	263
413	185	262
414	185	261
415	185	261
416	186	260
417	186	259
418	187	259
419	187	258
420	187	258
421	187	257
422	188	256
423	188	256
424	188	255
425	189	254
426	189	254
427	189	253
428	190	252
429	190	252
430	190	251
431	190	251
432	191	250
433	191	249
434	191	249
435	192	248
436	192	247
437	192	247
438	193	246
439	193	246
440	193	245
441	193	244
442	194	244
443	194	243
444	194	243
445	195	242
446	195	242
447	196	241
448	196	240
449	196	240
450	196	239
451	197	239
452	197	238
453	197	237
454	198	237
455	198	236
456	198	236
457	199	235
458	199	234
459	199	234
460	199	233
461	200	233
462	200	232
463	200	232
464	201	231
465	201	230
466	201	230
467	202	229
468	202	229
469	202	228
470	203	228
471	203	227
472	203	226
473	203	226
474	204	225
475	204	225
476	204	224
477	205	224
478	205	223
479	205	223
480	206	222
481	206	222
482	207	221
483	207	221
484	207	220
485	208	219
486	208	219
487	208	218
488	208	218
489	209	217
490	209	217
491	209	216
492	210	216
493	210	215
494	210	215
495	211	214
496	211	214
497	211	213
498	212	213
499	212	212
500	212	212
501	213	211
502	213	210
503	213	210
504	214	209
505	214	209
506	214	208
507	215	208
508	215	207
509	215	207
510	216	206
511	216	206
512	217	206
513	217	205
514	217	204
515	217	204
516	218	203
517	218	203
518	218	202
519	219	202
520	219	201
